Index,FullAcc,FalseNeg,FalsePos
0,0.7925328165,0.0002842287,0.6874968604
1,0.7719269028,0.0000000000,0.7053425107
2,0.7202228648,0.0000000000,0.7487439222
3,0.8708837378,0.0007120817,0.5470956096
4,0.7398900816,0.0000169653,0.7074496561
5,0.8505200684,0.0000678794,0.5810078888
6,0.9142152039,0.0012382115,0.4434313803
7,0.6526669594,0.0000000000,0.7677710843
8,0.5230207876,0.0000000000,0.8185621119
9,0.6306681403,0.0000000000,0.7765080376
10,0.5994943148,0.0000000000,0.7906566638
11,0.4582052718,0.0000000000,0.8363912586
12,0.8170752017,0.0001506402,0.6572844077
13,0.9614225802,0.0173409445,0.2406725380
14,0.8918227377,0.0008367641,0.5318590705
15,0.8270072219,0.0002009276,0.6438402527
16,0.9346697149,0.0040613792,0.4618966496
17,0.9543369317,0.0473872119,0.0598130841
18,0.9384245030,0.0659363843,0.0108108108
19,0.9449045406,0.0035250918,0.4288936224
20,0.9360626202,0.0022693507,0.4671165504
21,0.9077503066,0.0000161718,0.5912267081
22,0.9323986737,0.0000970528,0.5137096774
23,0.9818770913,0.0062922241,0.1340662947
24,0.9813017608,0.0106161011,0.0981484516
25,0.9697194507,0.0020875421,0.2233067492
26,0.9432693909,0.0003354635,0.3676630167
27,0.9183030780,0.0002342743,0.4616572311
28,0.9280079941,0.0014038295,0.4982392487
29,0.9519901891,0.0019263734,0.3950058222
30,0.9542915108,0.0009622755,0.3875867487
31,0.8465381762,0.0004259153,0.6700689290
32,0.9468122152,0.0028305110,0.4313396202
33,0.5863071356,0.0012197217,0.7781902287
34,0.7649623764,0.0000000000,0.7133863333
35,0.8968190283,0.1011939677,0.1574203241
36,0.8775908795,0.0000000000,0.5735262822
37,0.8775303184,0.1396546216,0.1084695394
38,0.8702478463,0.1360985566,0.2290584078
39,0.8935941498,0.0001558900,0.4579799034
40,0.9121409862,0.0088237937,0.3488998358
41,0.6365122863,0.0189550783,0.6826905936
42,0.9730200306,0.0261448962,0.0420902443
43,0.8977274448,0.1171055374,0.0074370709
44,0.9392723584,0.0623288044,0.0713311004
45,0.7698526851,0.3049200367,0.1048857015
46,0.9773047283,0.0001394679,0.4968322774
47,0.9824675620,0.0004994522,0.2219814851
48,0.9746097594,0.0006183889,0.2643548387
49,0.9843146755,0.0053006825,0.0975708502
50,0.9721116141,0.0188820979,0.1035890218
51,0.9634513770,0.0137881236,0.1854365582
52,0.9576677921,0.0356085700,0.0963091835
53,0.9565474118,0.0383992679,0.0889923684
54,0.9676755136,0.0000314792,0.4591046061
55,0.9632545534,0.0001276487,0.4179336558
56,0.9778346379,0.0001436942,0.2992595640
57,0.4982815788,0.0000000000,0.7804521903
58,0.5555420975,0.0002102165,0.7662218973
59,0.4442610789,0.0002662738,0.7908906708
60,0.5785855955,0.0107043766,0.7396665037
61,0.6494572212,0.0119419503,0.7060892504
62,0.6839316265,0.0073957345,0.6763286621
63,0.5322866357,0.0034288997,0.7514440963
64,0.3977955760,0.0000000000,1.0000000000
65,0.9226937577,0.0389234260,0.2354235424
66,0.8836621296,0.1191891839,0.1515436747
67,0.8079758967,0.0000000000,0.4382364120
68,0.4712107678,0.0000000000,0.6696577509
69,0.7344244425,0.0000000000,1.0000000000
70,0.9264939666,0.0607856626,0.1924600464
71,0.9000439068,0.1049554159,0.1333333333
72,0.8828748353,0.1285889436,0.1394571204
73,0.8840860573,0.1295715203,0.1169418239
74,0.8341988524,0.0054547113,0.4934451290
75,0.9083559176,0.0682545455,0.2396289348
76,0.8326394041,0.0051231201,0.6726350717
77,0.8638283698,0.0040703543,0.6198101176
78,0.8965919242,0.0017910048,0.5202754991
79,0.9043891656,0.0012805375,0.5164334796
80,0.8639494920,0.0004807533,0.6111907199
81,0.7086102742,0.0000000000,0.7216077387
82,0.8199518539,0.0000000000,0.6235972732
83,0.4709079623,0.0000000000,0.8334963150
84,0.8884767370,0.0021833339,0.5699204286
85,0.9003164317,0.0042764679,0.5475716388
86,0.7821768687,0.0001154734,0.7261892738
87,0.8994837166,0.0060788763,0.5415767205
88,0.8805432331,0.0064359885,0.5825891124
89,0.8562279520,0.0063947517,0.6321559920
90,0.8789686445,0.0163486837,0.6022004470
91,0.8474920135,0.0000000000,0.5203802242
92,0.4524519675,0.0000000000,0.8026321630
93,0.4930581841,0.0000000000,0.7933420211
94,0.5943466214,0.0000000000,0.7570140988
95,0.7032203364,0.0000000000,0.7774252399
96,0.7914729973,0.0000000000,0.6746840404
97,0.7971657406,0.0000675447,0.6624295183
98,0.8855243834,0.0023931972,0.5148844633
99,0.7702917531,0.0000000000,0.6731741947

Avg accuracy percent: 81.84329815742853%
Avg false negative percent: 1.9481065206199089%
Avg false positive percent: 49.20982927306996%
