Index,FullAcc,FalseNeg,FalsePos
0,0.8620529514,0.0019175823,0.5945213784
1,0.8570659722,0.0021204940,0.6015998222
2,0.8622873264,0.0012312734,0.5950688247
3,0.8932031250,0.0019485884,0.4999586896
4,0.8968185764,0.0021160881,0.4889075102
5,0.8906640625,0.0019221879,0.5029002555
6,0.8881987847,0.0019938046,0.5100197175
7,0.8520095486,0.0011832311,0.5857528463
8,0.8489366319,0.0015574510,0.5899036899
9,0.8258984375,0.0027395131,0.6227306366
10,0.8421918403,0.0024518015,0.5997858744
11,0.8404427083,0.0018060006,0.6021046362
12,0.8260460069,0.0016992435,0.6465341862
13,0.9298437500,0.0012271456,0.4442520389
14,0.7952300347,0.0017325699,0.6835143658
15,0.9494227431,0.0021888665,0.3412263058
16,0.8685894097,0.0019574524,0.6378842580
17,0.8569401042,0.0011214101,0.6820787559
18,0.8521831597,0.0016047631,0.6910745767
19,0.8692795139,0.0016981026,0.6465105163
20,0.8741189236,0.0015488931,0.6365896980
21,0.8916493056,0.0014557323,0.6314522120
22,0.9015017361,0.0012934332,0.6085905894
23,0.9440842014,0.0020415139,0.3916653562
24,0.9260112847,0.0021297776,0.4413664761
25,0.8830338542,0.0020661456,0.5374716278
26,0.9073567708,0.0019530123,0.4863992195
27,0.9258246528,0.0021686666,0.4359720148
28,0.8982074653,0.0018199171,0.5864374889
29,0.9122265625,0.0017502480,0.5484512724
30,0.8915364583,0.0011971344,0.6027684359
31,0.8915451389,0.0016583514,0.5890722143
32,0.8391493056,0.0012403188,0.7012788991
33,0.9605425347,0.0013986358,0.2455391993
34,0.8734852431,0.0012608285,0.5727939718
35,0.9809375000,0.0013615110,0.0829261455
36,0.8908246528,0.0016337137,0.5449473985
37,0.9554210069,0.0026073653,0.1809893666
38,0.9490190972,0.0024657820,0.2264673979
39,0.9440972222,0.0011423066,0.3050177224
40,0.9316189236,0.0017055174,0.2999786063
41,0.9154123264,0.0019103205,0.3205570825
42,0.8047569444,0.0006061076,0.6510740203
43,0.8997786458,0.0009065054,0.4375620750
44,0.9250434028,0.0015602977,0.3096771839
45,0.9956727431,0.0022968621,0.0101498958
46,0.8940190972,0.0001643977,0.8214622642
47,0.8833984375,0.0003695423,0.6593880013
48,0.8345876736,0.0007185316,0.7045121295
49,0.8619184028,0.0011168410,0.5658592518
50,0.8607552083,0.0010672254,0.5514901866
51,0.8360199653,0.0015084220,0.5791401372
52,0.8475564236,0.0010508819,0.5197386049
53,0.8412369792,0.0011051118,0.5318044200
54,0.8235329861,0.0003294417,0.8228079067
55,0.8584852431,0.0003065492,0.7343429100
56,0.8337282986,0.0007188414,0.7632231736
57,0.9968098958,0.0014052185,0.0139563292
58,0.9968359375,0.0016077897,0.0130014623
59,0.9964583333,0.0017450675,0.0139215917
60,0.9970182292,0.0013245985,0.0119849141
61,0.9965104167,0.0014480592,0.0147994546
62,0.9968750000,0.0012121710,0.0134608967
63,0.9966536458,0.0015343030,0.0130123796
64,1.0000000000,0.0000000000,0.0000000000
65,0.9960243056,0.0034200775,0.0065858734
66,0.9958550347,0.0024691358,0.0097946168
67,0.9954079861,0.0030165392,0.0094178233
68,0.9955425347,0.0034925424,0.0072151518
69,1.0000000000,0.0000000000,0.0000000000
70,0.9833376736,0.0037095437,0.0889608343
71,0.9799565972,0.0039216508,0.0909732183
72,0.9815494792,0.0034611875,0.0842068238
73,0.9865711806,0.0039547517,0.0559764813
74,0.9871223958,0.0039155209,0.0546588137
75,0.9892708333,0.0033143125,0.0462410276
76,0.8776085069,0.0014549074,0.5937626397
77,0.8659939236,0.0012812665,0.6120265568
78,0.8588020833,0.0014208568,0.5967971860
79,0.8875043403,0.0018735609,0.5576771826
80,0.8766102431,0.0022625510,0.5885461628
81,0.9167404514,0.0024704645,0.4229811133
82,0.9043793403,0.0025123181,0.4676055726
83,0.8475651042,0.0026450918,0.5921663327
84,0.8530468750,0.0019958660,0.6371379573
85,0.8778168403,0.0013916962,0.5963819311
86,0.8776953125,0.0016273162,0.5986021505
87,0.8548350694,0.0016142203,0.6301343789
88,0.8727864583,0.0012362526,0.5943490803
89,0.8655815972,0.0014817066,0.6109848938
90,0.8848090278,0.0017224444,0.5757362483
91,0.8580164931,0.0024947101,0.5025894612
92,0.8810069444,0.0019969394,0.4681278697
93,0.8852690972,0.0017856875,0.4640283289
94,0.8485026042,0.0014474091,0.5377755682
95,0.8474826389,0.0013522426,0.6429744138
96,0.8163498264,0.0022056091,0.6479256966
97,0.8766145833,0.0026380499,0.5451648223
98,0.8941319444,0.0019031302,0.4942647089
99,0.9071875000,0.0024671334,0.4530738016

Avg accuracy percent: 90.19953559027779%
Avg false negative percent: 0.17808615385863064%
Avg false positive percent: 44.184275191359575%
