Index,InferTime,PostProcessTime
0,0.0325655937,0.0219044685
1,0.0330288410,0.0015766621
2,0.0327291489,0.0009226799
3,0.0338945389,0.0009272099
4,0.0326733589,0.0009210110
5,0.0348882675,0.0011258125
6,0.0365138054,0.0008997917
7,0.0339832306,0.0009257793
8,0.0330119133,0.0008878708
9,0.0342140198,0.0010492802
10,0.0335371494,0.0009548664
11,0.0330173969,0.0009207726
12,0.0334737301,0.0009284019
13,0.0339248180,0.0008897781
14,0.0331952572,0.0011818409
15,0.0331840515,0.0014083385
16,0.0334854126,0.0009386539
17,0.0337183475,0.0008969307
18,0.0341150761,0.0012269020
19,0.0339820385,0.0009124279
20,0.0337331295,0.0009481907
21,0.0338363647,0.0009598732
22,0.0335712433,0.0011982918
23,0.0346286297,0.0009205341
24,0.0340826511,0.0009810925
25,0.0335409641,0.0010621548
26,0.0367281437,0.0009794235
27,0.0346193314,0.0009183884
28,0.0377945900,0.0009586811
29,0.0370810032,0.0013613701
30,0.0342998505,0.0010359287
31,0.0351493359,0.0011312962
32,0.0342319012,0.0009858608
33,0.0336031914,0.0009720325
34,0.0344324112,0.0009570122
35,0.0344996452,0.0013406277
36,0.0364179611,0.0010025501
37,0.0347332954,0.0011019707
38,0.0354843140,0.0013098717
39,0.0337543488,0.0013632774
40,0.0346713066,0.0008940697
41,0.0400588512,0.0010278225
42,0.0364363194,0.0010430813
43,0.0360634327,0.0009138584
44,0.0348501205,0.0010430813
45,0.0386815071,0.0009908676
46,0.0365941525,0.0009641647
47,0.0351903439,0.0010013580
48,0.0372507572,0.0009627342
49,0.0366032124,0.0010366440
50,0.0352878571,0.0012924671
51,0.0371754169,0.0011777878
52,0.0339217186,0.0009095669
53,0.0342392921,0.0009620190
54,0.0352087021,0.0012941360
55,0.0353312492,0.0012474060
56,0.0370686054,0.0011718273
57,0.0342090130,0.0010409355
58,0.0354192257,0.0011248589
59,0.0346679688,0.0010435581
60,0.0363001823,0.0015084743
61,0.0360140800,0.0009448528
62,0.0338025093,0.0009632111
63,0.0359694958,0.0009257793
64,0.0343916416,0.0009772778
65,0.0339083672,0.0009193420
66,0.0378007889,0.0009634495
67,0.0342388153,0.0010287762
68,0.0377528667,0.0009715557
69,0.0347082615,0.0013411045
70,0.0349504948,0.0011594296
71,0.0354199409,0.0010597706
72,0.0364265442,0.0013954639
73,0.0353403091,0.0014979839
74,0.0342392921,0.0011355877
75,0.0340528488,0.0009753704
76,0.0356826782,0.0012307167
77,0.0357434750,0.0010151863
78,0.0349843502,0.0013861656
79,0.0347597599,0.0010144711
80,0.0337474346,0.0009281635
81,0.0343937874,0.0011973381
82,0.0341093540,0.0009338856
83,0.0367407799,0.0018863678
84,0.0360667706,0.0009317398
85,0.0348925591,0.0011427402
86,0.0358638763,0.0009832382
87,0.0349848270,0.0011169910
88,0.0368471146,0.0010123253
89,0.0370023251,0.0012433529
90,0.0360596180,0.0009617805
91,0.0351493359,0.0013606548
92,0.0365238190,0.0013260841
93,0.0373046398,0.0008833408
94,0.0366048813,0.0019204617
95,0.0354120731,0.0009615421
96,0.0338544846,0.0011754036
97,0.0349121094,0.0009839535
98,0.0355687141,0.0015106201
99,0.0355176926,0.0011906624

Avg Inference Time: 35.063302516937256 ms
Avg Post-Processing Time: 1.300947666168213 ms
Avg Total Time: 36.36425018310547 ms
